name,espn_id
glover teixeira,2504929
godofredo pepey,2965058
gokhan saki,4239077
gokhan saricam,4588192
goran reljic,2335777
grant dawson,3931156
gray maynard,2335689
greg hardy,2220951
greg soto,2500661
greg stott,2951465
gregor gillespie,4021934
gregory rodrigues,4690541
grigorii popov,4421979
guangyou ning,2996677
guido cannetti,2989857
guilherme pat,5282610
guilherme vasconcelos,3103864
gunnar nelson,2968990
guram kutateladze,4226626
gustavo gabriel,4371000
gustavo lopez,3154766
guto inocente,2953475
guy mezger,2335646
hacran dias,2958022
hailey cowan,4374742
hakeem dawodu,3165010
hamdy abdelwahab,5078213
hannah cifers,3115958
hannah goldy,4289255
hans stringer,3007887
harold howard,2951256
harry hardwick,4396363
harry hunsucker,4251497
harry moskowitz,2558145
hatsu hioki,2509759
hayato sakurai,2354090
hayder hassan,2517122
he-man gipson,2951230
heath herring,2335302
heather clark,3024389
hecher sosa,5236383
hector aldana,4336315
hector lombard,2501238
hector ramirez,2335608
hector sandoval,2972878
hector urbina,2492784
henrique da silva,3991049
henry briones,2977004
henry cejudo,3023388
henry martinez,2558166
herbert burns,3089633
hermes franca,2335708
hernani perpetuo,3093557
holly holm,3028404
homer moore,2499999
horacio gutierrez,3952966
houston alexander,2335529
houston dorr,2951204
hu yaozong,4287236
hugo duarte,2558144
hugo viana,2965056
humberto bandenay,3953370
humberto brown,3093545
hunter azure,4425706
hyder amil,5027356
hyun gyu lim,2500684
hyunsung park,5068545
ian entwistle,3109134
ian freeman,2499537
ian heinisch,4202873
ian loveland,2487733
ian machado garry,4738092
ian mccall,2500572
iasmin lucindo,5080935
ibo aslan,4684240
icho larenas,2502140
ignacio bahamondes,4038116
igor araujo,3007946
igor pokrajac,2502590
igor severino,5145496
igor zinoviev,2951523
ihor potieria,4873642
ike villanueva,2618069
ikram aliskerov,4684776
ikuhisa minowa,2354242
ildemar alcantara,2557025
ilia topuria,4350812
ilian bouafia,5287881
iliarde santos,2978012
ilir latifi,2957596
imanol rodriguez,5289578
impa kasanganay,4573208
ion cutelaba,3994033
irene aldana,3136286
irina alekseeva,4711407
irwin rivera,3928533
isaac dulgarian,4918083
isaac thomson,5210642
isaac vallie-flagg,2560712
isabela de padua,4418541
islam dulatov,5212748
islam makhachev,3332412
ismael bonfim,3093513
ismail naurdiev,4412813
israel adesanya,4285679
issei tamura,2617690
istela nunes,4195518
iuri alcantara,2532872
ivan erslan,4698417
ivan jorge,3056121
ivan menjivar,2335702
ivan salaverry,2335786
ivan serati,2335746
ivana petrovic,5132151
iwo baraniewski,5307810
izabela badurek,3347172
jacare souza,2431314
jack della maddalena,4828707
jack hermansson,3074102
jack jenkins,5088885
jack marshman,2976993
jack may,3091514
jack mcglaughlin,2951323
jack nilson,2951342
jack shore,4319793
jackie lee,2951291
jackson mcvey,5291733
jacob kilburn,4354426
jacob malkoun,4687434
jacob volkmann,2495165
jacobe smith,5149961
jacqueline cavalcanti,4916251
jafel filho,3896934
jai herbert,4078246
jailton almeida,4873640
jairzinho rozenstruik,4410084
jake collier,2988175
jake ellenberger,2486942
jake hadley,4705600
jake hecht,2610175
jake lindsey,3103727
jake matthews,3089915
jake o'brien,2335648
jake rosholt,2335776
jake shields,2486937
jakub wikacz,4371005
jalin turner,4339490
jamahal hill,4425355
jamal pogues,4565641
jamall emmers,3915502
jamelle jones,3152189
james bochnovic,4236124
james giboo,2556654
james hammortree,2504647
james head,2557569
james irvin,2335458
james krause,2486970
james lee,2335642
james llontop,5075748
james mcsweeney,2354228
james moontasri,3106310
james mulheron,4013774
james te huna,2504632
james toney,2517353
james vick,2960682
james wilks,2500695
james zikic,2431321
jamey simmons,4684018
jamey-lyn horth,4689227
jamie moyle,3153108
jamie mullarkey,4064883
jamie pickett,4237148
jamie siraj,4421489
jamie varner,2354544
jamie yager,2504642
jan blachowicz,2506250
jaqueline amorim,4901883
jared cannonier,3154860
jared gooden,4375621
jared gordon,3894823
jared hamman,2500660
jared papazian,2615075
jared rollins,2335824
jared rosholt,3040876
jared vanderaa,4227709
jarjis danho,3958094
jarno errens,5093447
jarred brooks,4036094
jasmine jasudavicius,4835135
jason black,2354308
jason brilz,2335532
jason day,2335495
jason delucia,2335635
jason dent,2354437
jason fairn,2952788
jason gilliam,2499034
jason godsey,2500154
jason gonzalez,3128086
jason high,2431361
jason jackson,3120931
jason knight,3955317
jason lambert,2335604
jason macdonald,2335771
jason miller,2354051
jason novelli,3722431
jason reinhardt,2354359
jason saggo,3011425
jason tan,2335821
jason thacker,2431252
jason von flue,2447638
jason witt,3913466
jason young,2558383
javid basharat,4867357
javier reyes,4687104
javier vazquez,2500458
jay cucciniello,4350872
jay hieron,2431360
jay perrin,4062287
jay silva,2487259
jc cottrell,2514776
jean matsumoto,5149439
jean silva,5145766
jean-paul lebosnoyani,4629138
jeff cox,2354575
jeff curran,2335703
jeff hougland,2499819
jeff hughes,4237606
jeff joslin,2431254
jeff molina,4684238
jeff monson,2412446
jeff newton,2556809
jefferson nascimento,5362725
jeisla chaves,5308769
jeka saragih,5070502
jenel lausa,4058117
jennifer maia,3022348
jens pulver,2335885
jeongyeong lee,5068724
jeremiah wells,3970873
jeremy horn,2335477
jeremy jackson,2499246
jeremy kennedy,4034830
jeremy kimball,3019933
jeremy larsen,2553018
jeremy stephens,2335673
jermaine andre,2558108
jerome rivera,4222369
jerrod sanders,2555639
jerry bohlander,2487840
jess liaudin,2335823
jessamyn duke,3034802
jesse bongfeldt,2354284
jesse butler,4397795
jesse forbes,2431263
jesse lennox,2504616
jesse ronson,3001923
jesse sanders,2556277
jesse strader,4715407
jesse taylor,2354293
jessica aguilar,2559933
jessica andrade,3024395
jessica eye,3005099
jessica penne,2989128
jessica rakoczy,2512986
jessica-rose clark,3902226
jessin ayari,4021651
jesus aguilar,5074274
jesus pinedo,4243873
jhonata diniz,5145497
ji yeon kim,3155846
jianping yang,3090558
jim alers,3028070
jim miller,2335718
jim mullen,2951337
jimi manuwa,2611102
jimmie rivera,3003458
jimmy crute,4354420
jimmy drago,5264471
jimmy flick,2989380
jimmy quinlan,3026114
jimmy wallhead,2528568
jimy hettes,2574116
jin soo son,4377802
jingnan xiong,3956295
jinh yu frey,3136288
jiri prochazka,3156612
jj aldrich,3136289
jo sungbin,4422443
joachim christensen,3094515
joanderson brito,4422355
joanna jedrzejczyk,3106617
joanne wood,3028064
joao pierini,2557324
joao roque,2500451
joao zeferino,3031339
joaquim silva,3897005
joaquin buckley,4024714
joby sanchez,3128221
jocelyn jones-lybarger,3150679
jodie esquibel,3041444
joe brammer,2497088
joe charles,2499919
joe doerksen,2335496
joe duffy,3011927
joe ellenberger,3009737
joe giannetti,4350867
joe gigliotti,3991894
joe jordan,2354545
joe lauzon,2335676
joe merritt,3902948
joe moreira,2951335
joe pardo,2556012
joe proctor,2960683
joe pyfer,4684135
joe riggs,2335698
joe slick,2502015
joe solecki,4423876
joe son,2951453
joe soto,2514885
joe stevenson,2335672
joe vedepo,2502718
joe veres,2354579
joel alvarez,4411888
joel sutton,2951471
joey beltran,2504046
joey gambino,2516118
joey gilbert,2487847
joey gomez,3947131
